Hours;Load;Price;CO_2_eq;solar_pv
1;3.8346;-3.7299999999999986;199.59;0
2;3.777725;-15.75;198.38;0
3;3.693975;-29.9325;208.8;0
4;3.59325;-29.9325;210.75;0
5;3.548625;-29.925;208.97;0
6;3.564725;-22.2325;210.18;0
7;3.523175;-19.5;207.61;0
8;3.617225;-18.0;209.64;0
9;3.682925;-21.1475;202.21;0
10;3.92265;0.5474999999999994;194.53;20.0954
11;4.10055;0.4125000000000014;192.94;44.9603
12;4.3703;0.442499999999999;196.59;7.57085
13;4.420575;8.989999999999998;206.68;15.5778
14;4.362175;11.6375;206.0;11.1135
15;4.32315;19.627500000000005;210.86;4.49894
16;4.369175;45.375;236.48;0
17;4.566875;47.39;235.33;0
18;4.8732;97.56;245.61;0
19;4.8882;102.52499999999999;246.52;0
20;4.74685;71.715;237.99;0
21;4.48835;46.79;233.06;0
22;4.322275;41.002500000000005;241.23;0
23;4.2278;32.4725;244.02;0
24;3.909275;23.7025;255.16;0
25;3.678975;15.0;261.19;0
26;3.542375;4.864999999999999;258.2;0
27;3.528425;1.2924999999999995;251.94;0
28;3.60585;1.6499999999999986;258.43;0
29;3.7796;11.997500000000002;266.47;0
30;4.0899;70.6425;289.15;0
31;4.70695;95.0325;319.49;0
32;5.231725;136.04999999999998;319.81;0
33;5.6231;118.4175;330.38;0
34;5.744475;116.025;342.89;119.452
35;5.9241;120.625;342.42;88.9569
36;6.06545;89.9975;336.0;203.379
37;6.157175;104.92;345.5;99.5614
38;6.0448;109.075;363.07;70.5192
39;5.918825;109.2625;381.45;15.1217
40;5.9014;109.9975;393.09;0
41;5.98855;145.485;401.34;0
42;6.1094;148.99;407.79;0
43;6.065025;143.2275;407.32;0
44;5.9584;135.0;411.08;0
45;5.6001;147.7075;416.86;0
46;5.315425;118.36000000000001;423.87;0
47;5.01895;104.99999999999999;423.14;0
48;4.71035;89.9975;427.47;0
49;4.423825;110.05250000000001;436.37;0
50;4.23835;105.83;440.29;0
51;4.18165;95.9925;450.53;0
52;4.184975;96.125;464.94;0
53;4.3469;101.8275;488.4;0
54;4.58645;125.9;515.87;0
55;5.085475;155.0;535.36;0
56;5.5893;187.0725;547.84;0
57;5.836425;176.995;545.36;0
58;5.936325;188.54500000000002;529.43;88.944
59;6.005725;183.0325;513.54;11.0565
60;6.096475;175.98000000000002;508.22;11.2856
61;6.069275;168.36;517.7;12.7948
62;5.9218;162.74;531.15;16.5222
63;5.84085;166.10750000000002;548.81;0
64;5.806825;171.6975;545.31;0
65;5.9324;172.845;526.34;0
66;6.19145;183.0025;511.93;0
67;6.15455;170.26749999999998;492.7;0
68;5.974325;141.315;468.52;0
69;5.660775;141.35999999999999;425.94;0
70;5.3669;132.0;396.14;0
71;5.147025;110.67750000000001;344.96;0
72;4.8352;73.6375;275.55;0
73;4.61645;51.83;251.27;0
74;4.474175;36.1725;248.53;0
75;4.425975;27.6025;248.08;0
76;4.514975;8.95;242.13;0
77;4.6925;5.827500000000001;233.97;0
78;4.97685;24.4825;223.1;0
79;5.570175;54.17;225.5;0
80;6.00845;59.625;237.89;0
81;6.3147;73.7575;238.37;0
82;6.4182;74.555;226.93;46.9115
83;6.555775;74.5175;228.2;18.4187
84;6.6892;74.1125;222.33;27.0145
85;6.709775;74.47;210.31;15.6728
86;6.59345;68.4125;208.44;66.3434
87;6.500825;68.3175;209.92;0
88;6.441525;68.1675;221.88;0
89;6.46195;74.07;237.87;0
90;6.66065;75.22;232.05;0
91;6.6148;75.0375;229.21;0
92;6.40065;73.4725;224.92;0
93;6.0363;63.815000000000005;225.84;0
94;5.724225;56.769999999999996;227.68;0
95;5.458425;56.1;227.54;0
96;5.14355;39.0375;251.09;0
97;4.66785;9.0975;259.0;0
98;4.4609;7.015000000000001;258.3;0
99;4.466;-0.06500000000000003;260.55;0
100;4.504375;-0.3350000000000001;260.9;0
101;4.6173;-0.09999999999999998;257.78;0
102;4.827275;14.370000000000003;275.4;0
103;5.3112;57.4675;299.69;0
104;5.91;95.475;321.6;0
105;6.142475;114.555;334.84;0
106;6.21145;106.295;343.48;22.6386
107;6.252525;109.985;349.76;33.2543
108;6.39515;119.815;362.43;36.1652
109;6.4238;126.98750000000001;382.23;39.4421
110;6.24605;133.23;414.35;27.1305
111;6.0916;136.95;447.07;2.80042
112;5.9913;145.54;480.57;0
113;6.011375;162.7275;490.62;0
114;6.228225;171.81;505.49;0
115;6.1968;179.9975;506.82;0
116;5.974875;172.0;514.45;0
117;5.645125;165.0;508.27;0
118;5.278875;153.1275;479.44;0
119;4.997425;141.93;450.92;0
120;4.658725;125.7025;440.43;0
121;4.3962;108.9975;425.77;0
122;4.20955;100.07249999999999;404.84;0
123;4.158475;91.30250000000001;369.46;0
124;4.229675;79.13;345.24;0
125;4.3703;73.175;356.35;0
126;4.59165;78.32249999999999;367.8;0
127;4.996975;99.9725;377.36;0
128;5.377825;109.51750000000001;381.9;0
129;5.64975;114.065;362.84;0
130;5.8189;118.7425;346.92;114.067
131;5.997;113.7775;328.46;58.4394
132;6.1298;113.4575;321.33;50.3764
133;6.118525;111.22749999999999;323.82;12.6417
134;5.955375;109.7525;352.95;17.2284
135;5.842825;112.2;388.62;0.519071
136;5.73615;129.405;413.78;0
137;5.79695;147.065;422.58;0
138;5.99095;156.715;411.59;0
139;6.0527;157.71;403.35;0
140;5.8109;150.2575;390.05;0
141;5.4721;151.0925;371.98;0
142;5.24065;134.2625;371.11;0
143;5.012675;135.0925;349.06;0
144;4.662425;112.67999999999999;329.66;0
145;4.3201;101.3475;330.7;0
146;4.118525;83.485;314.17;0
147;4.016225;81.3;294.99;0
148;3.977825;80.17999999999999;290.48;0
149;4.012075;79.53;286.27;0
150;4.090175;79.55;300.67;0
151;4.17205;79.8975;313.16;0
152;4.449925;91.25999999999999;312.13;0
153;4.737;104.6525;316.02;0
154;5.023075;119.73750000000001;309.52;35.1336
155;5.1914;118.3775;291.9;29.5655
156;5.363925;97.965;279.5;37.5746
157;5.369375;83.245;278.37;25.1704
158;5.2312;81.02;286.72;14.7428
159;5.027975;80.7425;303.9;0
160;5.06585;80.575;311.8;0
161;5.214925;99.3775;309.94;0
162;5.5371;111.0975;300.12;0
163;5.611025;120.1275;277.84;0
164;5.4536;109.0975;248.17;0
165;5.17435;70.97500000000001;219.7;0
166;4.949375;68.31;222.75;0
167;4.78845;61.325;221.34;0
168;4.475725;37.57;211.35;0
169;4.2509;24.5675;210.46;0
170;4.07085;24.3875;216.39;0
171;3.982975;24.0225;223.17;0
172;4.00595;24.03;222.62;0
173;4.0147;24.0425;223.86;0
174;4.002;24.052500000000002;229.91;0
175;3.991875;8.962499999999999;230.04;0
176;4.1043;27.47;228.1;0
177;4.370475;42.88;245.02;0
178;4.71365;62.83;262.17;55.3598
179;4.94665;74.98;276.88;45.2319
180;5.203575;85.2775;277.31;35.9915
181;5.1772;84.0725;281.78;27.3171
182;5.023125;69.1375;304.02;20.7142
183;4.862325;73.2025;324.14;1.65977
184;4.843375;85.69;321.88;0
185;5.030475;91.28500000000001;323.4;0
186;5.4134;135.1625;324.08;0
187;5.543675;124.27499999999999;328.67;0
188;5.386375;106.65999999999998;326.71;0
189;5.146275;93.8225;326.23;0
190;4.91945;81.305;317.65;0
191;4.795325;74.4075;306.0;0
192;4.516;69.885;283.42;0
193;4.348175;66.3675;260.69;0
194;4.2441;54.3975;260.39;0
195;4.216125;7.795000000000001;272.13;0
196;4.2423;11.87;300.89;0
197;4.38005;56.295;335.76;0
198;4.718325;95.19;384.48;0
199;5.5976;108.89500000000001;416.81;0
200;6.19335;128.035;424.09;0
201;6.552325;150.1;431.61;0
202;6.60895;158.3525;435.85;64.1973
203;6.622875;161.56;432.66;35.5557
204;6.681075;161.735;443.16;23.0837
205;6.645825;141.5;466.9;22.1277
206;6.60645;130.5375;485.39;12.8308
207;6.439575;140.9975;506.1;1.08772
208;6.3095;150.895;514.59;0
209;6.333425;159.0875;506.35;0
210;6.602925;156.7425;511.56;0
211;6.59225;158.035;511.78;0
212;6.427475;141.7575;509.47;0
213;6.057225;139.67749999999998;513.2;0
214;5.738125;117.045;506.31;0
215;5.4345;107.2175;492.1;0
216;5.08875;96.52999999999999;477.71;0
217;4.799275;102.79249999999999;466.4;0
218;4.5917;93.6925;455.62;0
219;4.5441;86.65;450.76;0
220;4.6005;81.8875;451.98;0
221;4.74525;89.885;476.65;0
222;5.09845;97.465;505.99;0
223;5.765825;130.425;509.5;0
224;6.3619;163.835;520.61;0
225;6.628775;167.7625;504.69;0
226;6.6847;178.7425;485.86;36.4804
227;6.739175;172.5975;475.11;154.513
228;6.759475;163.6475;474.12;205.178
229;6.701275;149.9775;473.67;122.922
230;6.625675;145.1275;487.01;25.0236
231;6.483;148.6925;498.22;8.19831
232;6.40415;151.4225;486.05;0
233;6.501525;153.3225;469.94;0
234;6.793725;150.4225;453.29;0
235;6.797775;146.39499999999998;436.98;0
236;6.677375;129.5225;398.93;0
237;6.35585;107.0775;361.73;0
238;6.024725;92.4825;333.7;0
239;5.70625;84.595;301.9;0
240;5.402225;69.0125;293.98;0
241;5.06475;30.68;274.72;0
242;4.86475;19.54;270.6;0
243;4.78055;11.945;269.85;0
244;4.80275;11.9225;266.32;0
245;4.907675;12.957500000000001;260.02;0
246;5.24485;38.505;280.87;0
247;5.97605;81.86;358.18;0
248;6.58885;117.2675;410.78;0
249;6.842025;132.96;422.07;0
250;6.804525;138.0025;426.26;12.3303
251;6.81505;128.82;429.18;69.4281
252;6.88485;141.0;421.21;113.032
253;6.7895;141.0;406.63;140.006
254;6.667925;136.685;411.16;42.0558
255;6.59705;133.52;419.66;9.4016
256;6.523525;128.8075;425.83;0
257;6.569025;124.73;415.96;0
258;6.8357;149.89;408.83;0
259;6.819225;150.5525;386.6;0
260;6.652875;128.0025;361.96;0
261;6.3008;119.64;315.44;0
262;5.973975;95.815;281.53;0
263;5.669575;83.0275;249.57;0
264;5.40005;45.51;231.0;0
265;5.12225;10.035;228.07;0
266;4.9455;9.834999999999999;239.28;0
267;4.8666;6.9975000000000005;230.5;0
268;4.8683;1.2449999999999999;227.23;0
269;4.96655;2.98;221.74;0
270;5.3023;19.049999999999997;227.13;0
271;6.111025;62.537499999999994;257.86;0
272;6.66395;94.79249999999999;267.69;0
273;6.9503;106.625;253.68;0
274;7.02075;98.995;243.67;13.4685
275;7.07845;97.455;242.29;7.46627
276;7.171025;83.5325;238.3;26.2274
277;7.080375;76.7675;232.76;28.6503
278;6.983875;73.745;240.55;16.2629
279;6.841975;81.2325;264.88;10.5144
280;6.760675;85.805;278.0;0
281;6.73275;95.71;299.89;0
282;6.92335;110.8875;301.14;0
283;6.9065;107.46;285.95;0
284;6.75395;93.98;263.93;0
285;6.37445;83.43;240.6;0
286;6.008975;61.0;226.12;0
287;5.7127;56.002500000000005;213.5;0
288;5.373075;35.045;212.1;0
289;5.03185;21.14;207.85;0
290;4.88035;9.03;204.65;0
291;4.81755;5.9925;201.04;0
292;4.82155;5.9475;202.39;0
293;4.939475;9.9025;203.86;0
294;5.25495;28.085;210.42;0
295;5.9112;81.01249999999999;234.99;0
296;6.5091;102.8825;258.74;0
297;6.781725;108.57749999999999;256.53;0
298;6.832375;106.22;241.22;3.35038
299;6.86805;92.88;217.86;24.9583
300;6.8927;85.975;196.62;113.026
301;6.883775;79.0;196.01;95.6626
302;6.7816;76.27;197.64;55.9216
303;6.59145;76.325;213.23;40.8127
304;6.540225;79.9775;231.3;0
305;6.6213;93.865;254.47;0
306;6.85775;99.86;261.25;0
307;6.792375;97.3725;264.5;0
308;6.43535;88.59;259.47;0
309;6.0832;83.1125;258.11;0
310;5.7323;77.465;255.06;0
311;5.4256;72.7775;245.88;0
312;5.1075;57.43;224.24;0
313;4.944925;34.89;218.23;0
314;4.701225;24.07;207.74;0
315;4.5773;25.34;201.15;0
316;4.559225;15.690000000000001;206.97;0
317;4.59895;13.2;213.7;0
318;4.587425;16.6;221.19;0
319;4.633775;32.865;222.94;0
320;4.877625;41.480000000000004;219.35;0
321;5.212225;60.855000000000004;210.8;0
322;5.493075;75.96;199.64;70.139
323;5.69815;75.1975;191.55;65.5431
324;5.8556;61.9725;186.08;53.2363
325;5.8735;55.8575;175.55;14.0531
326;5.786025;43.36;174.14;13.8039
327;5.662575;36.47;177.12;1.10655
328;5.6687;28.23;181.85;0
329;5.8146;25.6175;190.28;0
330;6.064825;29.07;188.8;0
331;6.094375;32.3025;188.31;0
332;5.860175;23.9125;191.82;0
333;5.5121;26.604999999999997;192.63;0
334;5.248225;14.4525;195.76;0
335;5.095525;12.435;195.79;0
336;4.8311;9.6425;188.33;0
