Hours;Load;Price;CO_2_eq;solar_pv
1;1.9997;0.0;114.42;0
2;1.9251;0.0;117.69;0
3;1.8104;0.0;118.07;0
4;1.709;0.0;118.8;0
5;1.6531;0.0;119.16;0
6;1.618;0.0;118.6;0
7;1.6229;0.0;117.1;0
8;1.6512;0.0;120.18;0
9;1.6511;0.0;120.49;0
10;1.689;0.0;111.8;278.955
11;1.8153;0.0;113.21;474.76
12;1.9232;0.0;107.17;464.718
13;1.9745;0.0;101.82;409.087
14;2.0358;0.1;105.47;344.964
15;2.0532;0.1;106.77;341.51
16;1.9693;0.01;115.73;363.057
17;1.95;1.0;117.26;295.923
18;2.0269;4.16;95.98;0
19;2.2544;15.1;87.7;0
20;2.3594;19.51;87.27;0
21;2.4416;24.61;88.23;0
22;2.4588;40.07;86.07;0
23;2.3403;40.07;89.0;0
24;2.1497;16.0;102.48;0
25;1.9932;61.38;114.39;0
26;1.8538;42.17;119.89;0
27;1.7653;42.0;123.17;0
28;1.7227;42.07;129.36;0
29;1.7209;42.17;141.2;0
30;1.7828;63.22;151.93;0
31;2.0015;85.0;176.26;0
32;2.2493;105.36;188.82;0
33;2.4364;131.0;196.42;0
34;2.5797;131.58;195.26;271.121
35;2.6894;127.0;195.35;445.541
36;2.716;126.07;191.86;438.624
37;2.7244;127.0;185.4;397.44
38;2.7648;130.0;184.12;315.744
39;2.7618;131.0;189.87;306.612
40;2.6977;128.0;195.21;236.966
41;2.68;131.88;211.52;107.173
42;2.6899;160.0;217.85;0
43;2.8084;174.74;209.86;0
44;2.8691;165.76;199.91;0
45;2.9394;153.0;193.28;0
46;2.8977;141.67;196.35;0
47;2.6833;134.91;193.49;0
48;2.4393;124.22;180.28;0
49;2.2789;130.01;169.13;0
50;2.1188;120.0;173.74;0
51;2.0142;118.76;177.32;0
52;1.9668;115.0;177.68;0
53;1.9563;113.63;180.87;0
54;2.0217;116.27;179.2;0
55;2.2758;138.92;190.87;0
56;2.5882;155.59;199.56;0
57;2.7877;169.17;203.17;0
58;2.9565;171.18;195.54;270.37
59;2.9646;154.9;180.62;459.137
60;2.9286;146.71;171.3;454.178
61;2.8899;133.33;165.24;401.497
62;2.8828;130.0;164.09;340.822
63;2.8319;126.0;160.63;333.907
64;2.7664;120.0;175.63;350.15
65;2.7729;135.56;208.9;268.534
66;2.8537;156.3;222.12;0
67;3.0216;169.01;223.41;0
68;3.1099;160.99;224.29;0
69;3.1527;152.1;224.43;0
70;3.1055;149.92;208.06;0
71;2.8496;132.53;186.13;0
72;2.5861;115.0;169.73;0
73;2.3893;119.99;152.58;0
74;2.2194;100.0;147.26;0
75;2.1123;90.23;145.88;0
76;2.06;84.2;146.46;0
77;2.0545;80.23;145.1;0
78;2.1108;87.31;148.2;0
79;2.3481;109.0;163.13;0
80;2.655;105.1;185.43;0
81;2.8789;134.16;183.58;0
82;3.0096;129.3;174.67;270.239
83;3.02;120.7;160.9;458.563
84;2.9575;96.77;160.75;452.604
85;2.9248;105.03;158.51;396.691
86;2.9226;106.0;155.92;331.387
87;2.878;105.07;152.59;32.62
88;2.7954;103.9;158.71;344.089
89;2.8;107.98;188.83;267.131
90;2.8729;129.82;204.95;0
91;3.0406;167.29;205.87;0
92;3.1008;160.6;200.13;0
93;3.1626;151.55;195.8;0
94;3.1195;140.61;190.31;0
95;2.8659;126.58;183.67;0
96;2.6147;104.75;166.12;0
97;2.4356;95.05;154.42;0
98;2.2652;79.21;151.43;0
99;2.1456;68.07;148.93;0
100;2.0896;64.27;150.55;0
101;2.0784;61.97;149.62;0
102;2.1353;65.1;164.32;0
103;2.3496;95.05;196.67;0
104;2.6589;108.23;206.88;0
105;2.8779;135.0;204.16;0
106;3.0034;123.27;182.04;270.865
107;3.0082;104.97;165.9;457.831
108;2.9439;113.53;160.53;458.07
109;2.8821;100.82;155.45;408.559
110;2.8603;96.44;152.19;342.394
111;2.7985;93.9;154.49;335.888
112;2.7284;91.16;168.64;355.358
113;2.7239;94.43;207.04;283.551
114;2.7524;118.9;231.34;0
115;2.8578;163.2;232.7;0
116;2.8623;177.98;230.67;0
117;2.8796;163.99;229.95;0
118;2.8566;152.0;231.51;0
119;2.6832;135.0;232.55;0
120;2.4923;118.9;191.34;0
121;2.3215;107.21;167.03;0
122;2.1625;101.1;170.19;0
123;2.0245;96.73;171.11;0
124;1.9507;81.37;163.99;0
125;1.9015;75.75;176.2;0
126;1.9025;81.0;177.96;0
127;1.9447;97.45;172.74;0
128;2.0457;107.82;166.57;0
129;2.0912;122.8;149.82;0
130;2.2099;125.0;123.81;278.159
131;2.3132;120.7;110.34;463.356
132;2.3339;110.05;106.19;463.597
133;2.3148;103.36;103.04;413.036
134;2.3227;90.23;103.33;346.986
135;2.2882;80.23;106.19;342.683
136;2.1869;70.0;106.55;364.234
137;2.1769;80.43;134.04;298.744
138;2.2809;121.2;158.68;0
139;2.4947;128.47;153.43;0
140;2.6111;137.73;149.53;0
141;2.6755;137.73;144.17;0
142;2.6979;132.0;139.69;0
143;2.5832;99.9;140.95;0
144;2.4008;91.1;121.76;0
145;2.2584;53.42;108.65;0
146;2.1063;40.3;110.62;0
147;1.9973;25.5;114.77;0
148;1.9345;24.8;112.79;0
149;1.9104;20.0;110.85;0
150;1.931;14.85;110.15;0
151;2.0265;14.85;103.39;0
152;2.1673;14.0;101.53;0
153;2.2938;18.28;91.91;0
154;2.4593;20.2;81.66;282.106
155;2.5946;18.28;76.0;469.734
156;2.6227;14.0;73.29;466.217
157;2.6283;10.35;73.42;418.116
158;2.6917;8.0;73.57;351.998
159;2.7131;5.46;71.84;342.881
160;2.6233;4.16;73.33;366.839
161;2.592;8.0;76.26;3.08
162;2.6533;24.61;82.03;0
163;2.8239;40.0;85.14;0
164;2.9079;43.45;84.12;0
165;2.9575;50.0;84.64;0
166;2.9281;43.45;82.24;0
167;2.713;30.0;83.31;0
168;2.5007;24.61;86.85;0
169;2.3332;7.0;89.31;0
170;2.1603;5.0;91.92;0
171;2.0392;4.2;94.66;0
172;1.9601;4.16;97.56;0
173;1.9178;4.16;95.14;0
174;1.9268;4.16;96.52;0
175;1.9648;4.16;96.75;0
176;2.0361;4.16;101.95;0
177;2.095;4.16;92.42;0
178;2.2695;5.0;93.5;278.341
179;2.4758;5.1;96.49;474.533
180;2.5847;5.05;81.49;464.952
181;2.6491;4.9;70.74;413.918
182;2.7377;5.0;71.53;350.527
183;2.7316;4.6;73.97;342.108
184;2.5978;4.2;74.46;363.951
185;2.5281;4.6;75.71;311.924
186;2.5546;7.1;74.17;0
187;2.7443;17.8;71.73;0
188;2.8522;24.61;70.07;0
189;2.9241;40.0;70.32;0
190;2.8793;40.0;68.14;0
191;2.6763;21.94;73.44;0
192;2.4237;15.7;88.53;0
193;2.2356;5.1;89.81;0
194;2.0913;4.2;91.61;0
195;2.0006;4.2;93.71;0
196;1.9642;4.2;93.55;0
197;1.9631;4.6;93.18;0
198;2.0532;5.5;91.37;0
199;2.3743;24.61;98.86;0
200;2.8295;80.0;111.42;0
201;3.0811;118.0;112.15;0
202;3.1105;121.16;103.44;286.084
203;3.1052;119.58;93.63;473.57
204;3.0542;115.0;90.65;463.379
205;3.0296;106.0;86.91;413.983
206;3.0308;91.84;89.04;347.82
207;2.9907;81.28;94.1;343.35
208;2.9479;72.32;102.23;364.383
209;2.9464;99.1;124.2;302.09
210;3.0074;130.26;144.36;0
211;3.1657;161.5;144.43;0
212;3.2855;171.62;143.47;0
213;3.3461;161.21;136.69;0
214;3.2574;139.16;129.82;0
215;2.943;132.0;120.51;0
216;2.6483;106.34;115.46;0
217;2.467;105.98;111.26;0
218;2.2981;96.79;115.9;0
219;2.2073;95.31;119.74;0
220;2.1708;90.19;122.11;0
221;2.1739;93.0;119.94;0
222;2.2431;98.0;122.88;0
223;2.5358;117.67;134.83;0
224;2.9776;132.67;146.41;0
225;3.2149;141.84;148.43;0
226;3.2544;141.44;135.59;282.215
227;3.2267;125.3;125.61;473.675
228;3.1626;101.0;121.31;469.714
229;3.1121;97.6;116.33;425.947
230;3.0803;95.5;112.64;357.881
231;3.0112;92.6;113.07;346.219
232;2.9729;92.0;119.23;370.728
233;2.989;98.0;141.19;312.17
234;3.0503;133.28;157.31;0
235;3.225;144.74;162.53;0
236;3.3601;141.07;161.8;0
237;3.4173;124.84;151.05;0
238;3.3258;109.65;128.81;0
239;3.0097;92.8;110.42;0
240;2.6998;64.3;102.15;0
241;2.5056;35.0;106.25;0
242;2.3577;8.0;108.21;0
243;2.2515;4.16;111.18;0
244;2.2055;4.16;112.37;0
245;2.1952;4.16;118.9;0
246;2.2667;5.53;139.48;0
247;2.5512;64.37;163.64;0
248;2.9945;99.99;168.52;0
249;3.2078;139.02;160.88;0
250;3.2536;138.67;146.5;301.546
251;3.257;130.0;134.0;375.829
252;3.217;107.35;126.54;498.856
253;3.2133;95.96;124.49;417.181
254;3.2031;84.77;119.04;352.302
255;3.1618;66.02;124.83;349.61
256;3.1057;62.87;129.6;368.845
257;3.071;85.15;144.41;313.277
258;3.1042;130.0;156.98;0
259;3.2415;134.95;149.84;0
260;3.3525;131.96;145.71;0
261;3.4059;136.65;144.71;0
262;3.3114;135.07;140.29;0
263;2.9878;115.16;124.27;0
264;2.6939;93.08;118.83;0
265;2.5353;69.5;118.22;0
266;2.3859;56.6;121.88;0
267;2.2813;56.0;126.89;0
268;2.2239;56.0;131.34;0
269;2.2329;55.7;127.64;0
270;2.3002;56.6;135.36;0
271;2.5813;91.12;157.11;0
272;3.0198;118.91;164.21;0
273;3.2534;122.1;164.28;0
274;3.2508;120.0;150.23;288.544
275;3.2447;102.84;134.87;479.592
276;3.1756;98.6;123.63;479.975
277;3.1219;85.67;118.13;424.566
278;3.0949;81.59;115.48;359.094
279;3.0308;70.34;118.7;348.665
280;3.0057;70.76;130.29;371.551
281;3.0269;94.18;159.35;313.953
282;3.1331;120.63;165.82;0
283;3.3208;132.89;159.25;0
284;3.4063;141.43;152.94;0
285;3.4671;142.22;146.82;0
286;3.3647;114.74;138.49;0
287;3.0455;104.79;130.26;0
288;2.7396;61.32;110.66;0
289;2.5689;59.83;107.16;0
290;2.4089;44.2;107.44;0
291;2.3027;39.05;105.76;0
292;2.2571;39.0;105.2;0
293;2.2521;38.7;107.78;0
294;2.3211;39.0;113.24;0
295;2.598;58.92;139.34;0
296;3.0356;92.58;158.13;0
297;3.254;111.33;154.87;0
298;3.2874;106.03;147.06;278.062
299;3.2911;98.74;133.36;477.474
300;3.2334;91.17;128.18;486.373
301;3.1606;82.89;123.19;436.085
302;3.1231;76.14;121.46;369.63
303;3.0419;77.96;123.31;355.376
304;2.9755;80.0;132.68;326.921
305;2.9653;90.14;153.72;253.179
306;3.0301;113.13;167.9;0
307;3.2166;128.08;169.52;0
308;3.315;149.0;165.8;0
309;3.3413;154.7;166.47;0
310;3.2682;138.69;165.83;0
311;3.0146;110.37;159.21;0
312;2.758;103.94;135.73;0
313;2.6163;80.0;122.65;0
314;2.459;73.5;112.42;0
315;2.3302;65.91;111.79;0
316;2.2549;49.95;111.88;0
317;2.2063;45.37;111.12;0
318;2.1996;45.0;109.85;0
319;2.2574;48.23;107.95;0
320;2.3999;59.39;111.65;0
321;2.5566;60.65;113.15;0
322;2.7543;68.71;97.86;244.405
323;2.8184;54.23;81.31;399.329
324;2.7874;45.4;75.56;156.445
325;2.7457;45.4;74.83;114.995
326;2.7358;45.0;72.89;130.069
327;2.6993;40.0;73.8;151.369
328;2.5927;35.0;87.09;92.0923
329;2.575;42.97;106.22;48.5007
330;2.6426;54.23;111.39;0
331;2.8366;64.5;111.1;0
332;2.9608;69.78;107.59;0
333;3.0025;54.52;102.8;0
334;2.9692;45.0;96.75;0
335;2.77;44.2;92.65;0
336;2.5572;35.0;96.33;0
337;2.374;25.0;97.97;0
338;2.1988;17.08;100.49;0
339;2.0743;13.94;99.93;0
340;2.0097;4.16;102.22;0
341;1.9816;3.1;110.02;0
342;1.9717;4.16;101.47;0
343;2.0092;4.16;91.26;0
344;2.0782;5.0;90.93;0
345;2.1566;16.18;88.91;0
346;2.3322;26.73;72.49;187.506
347;2.4969;31.1;61.98;46.2598
348;2.5453;24.61;60.68;50.2978
349;2.5427;23.0;60.82;177.733
350;2.5844;21.94;58.73;24.9232
351;2.6025;19.23;60.36;203.378
352;2.5057;15.0;64.0;157.185
353;2.46;19.93;65.38;26.8341
354;2.5014;30.0;75.94;0
355;2.7283;35.6;75.94;0
356;2.9016;40.0;80.8;0
357;3.0083;50.56;78.33;0
358;2.9567;41.28;74.79;0
359;2.7814;34.5;72.79;0
360;2.529;23.0;73.36;0
361;2.3377;4.16;70.69;0
362;2.202;3.0;75.15;0
363;2.118;4.16;75.72;0
364;2.0837;3.0;73.47;0
365;2.0941;3.0;75.58;0
366;2.1899;4.16;73.53;0
367;2.5438;4.16;72.76;0
368;3.0335;12.0;72.74;0
369;3.3031;22.8;71.76;0
370;3.3788;22.8;70.07;222.581
371;3.4204;20.9;64.09;515.759
372;3.3882;14.0;60.62;514.102
373;3.3717;14.0;63.09;454.632
374;3.3862;15.0;64.63;210.593
375;3.3427;9.69;67.28;363.232
376;3.2998;9.69;70.29;173.438
377;3.2779;9.69;79.87;346.26
378;3.3076;14.0;87.49;0
379;3.4261;22.4;91.71;0
380;3.5308;31.75;97.76;0
381;3.5699;34.2;89.2;0
382;3.4402;24.61;75.53;0
383;3.0981;9.99;67.79;0
384;2.7728;4.16;68.66;0
385;2.581;4.16;75.34;0
386;2.4323;4.16;69.18;0
387;2.3333;2.99;69.0;0
388;2.2867;1.49;68.54;0
389;2.2769;0.65;68.57;0
390;2.3464;1.49;65.37;0
391;2.6251;4.16;67.24;0
392;3.05;4.16;71.05;0
393;3.2603;4.7;67.82;0
394;3.3309;4.85;60.11;301.669
395;3.3242;4.16;58.02;502.653
396;3.2827;4.16;59.85;504.264
397;3.2802;4.16;60.28;452.819
398;3.2692;4.16;61.1;387.635
399;3.2075;4.16;60.58;378.837
400;3.148;4.16;61.33;395.365
401;3.1736;4.16;67.86;216.532
402;3.2452;4.16;74.5;0
403;3.3953;4.95;82.51;0
404;3.5471;12.46;93.64;0
405;3.5938;17.5;85.08;0
406;3.4779;12.2;72.56;0
407;3.1328;4.95;67.37;0
408;2.8061;4.16;65.82;0
409;2.6283;3.8;67.83;0
410;2.4667;0.57;69.93;0
411;2.3478;0.1;68.54;0
412;2.3152;0.1;73.01;0
413;2.3124;0.12;74.43;0
414;2.3884;0.65;71.81;0
415;2.6853;1.8;78.97;0
416;3.1536;10.0;86.54;0
417;3.3955;24.61;90.04;0
418;3.4458;21.34;75.56;157.846
419;3.4264;12.6;68.7;150.101
420;3.356;4.16;64.92;69.4329
421;3.3544;4.16;63.23;78.1182
422;3.3638;4.16;62.34;167.847
423;3.2984;4.16;64.32;106.947
