Hours;Load;Price;CO_2_eq;solar_pv
1;2.0555;195.9;508.61;0
2;1.9857;191.09;509.79;0
3;1.881;187.95;510.28;0
4;1.7892;187.82;498.67;0
5;1.7407;187.74;499.74;0
6;1.7455;187.74;489.64;0
7;1.8089;187.22;487.64;0
8;1.8419;187.82;466.47;0
9;1.8967;186.47;420.32;204.409
10;2.0504;186.47;414.05;435.704
11;2.1519;177.25;405.97;445.385
12;2.2795;168.5;410.72;378.045
13;2.3187;173.0;420.58;315.954
14;2.2455;165.89;435.38;310.364
15;2.1605;179.73;454.53;335.459
16;2.1812;188.06;483.6;13.7864
17;2.2483;193.67;474.48;0
18;2.4927;213.36;469.33;0
19;2.577;229.99;468.22;0
20;2.6367;243.42;471.14;0
21;2.5863;235.0;486.92;0
22;2.4617;203.25;493.24;0
23;2.2944;190.85;493.06;0
24;2.0791;187.28;503.24;0
25;1.9198;187.27;523.23;0
26;1.7966;187.2;532.68;0
27;1.729;180.0;538.01;0
28;1.7003;180.0;530.99;0
29;1.7296;185.89;517.95;0
30;1.8763;185.89;498.74;0
31;2.213;198.85;489.61;0
32;2.5693;202.72;467.19;0
33;2.8869;213.36;453.65;232.73
34;3.0962;203.99;436.94;450.111
35;3.1208;196.23;424.42;436.754
36;3.1206;194.63;425.76;246.88
37;3.0554;194.47;432.51;322.748
38;3.021;193.75;437.45;320.359
39;3.0573;195.74;460.23;332.54
40;3.0719;199.09;464.27;12.5894
41;3.1317;206.21;466.57;0
42;3.3063;262.0;467.39;0
43;3.3043;247.0;476.09;0
44;3.3006;250.0;481.27;0
45;3.1363;210.95;485.02;0
46;2.8981;199.09;491.61;0
47;2.6236;194.47;497.27;0
48;2.3645;185.0;486.25;0
49;2.1133;170.77;488.94;0
50;1.9827;148.89;486.65;0
51;1.9025;120.0;485.47;0
52;1.8755;115.0;483.51;0
53;1.9029;113.63;481.32;0
54;2.037;148.89;470.93;0
55;2.3651;191.58;468.31;0
56;2.7448;191.63;432.47;0
57;3.1105;199.74;418.88;212.281
58;3.3069;198.49;421.75;460.331
59;3.303;191.58;414.49;465.997
60;3.2519;180.2;419.75;169.944
61;3.1746;175.0;415.11;329.776
62;3.1409;174.76;416.81;142.861
63;3.2038;180.2;428.66;153.36
64;3.2353;190.0;429.36;14.1143
65;3.2982;194.9;420.45;0
66;3.4869;200.38;419.85;0
67;3.4839;200.0;425.24;0
68;3.46;199.74;440.49;0
69;3.25;195.02;439.53;0
70;2.9933;189.89;444.59;0
71;2.6951;173.57;440.24;0
72;2.4108;149.99;423.51;0
73;2.1516;121.5;440.39;0
74;1.9957;119.22;452.38;0
75;1.9203;100.0;460.02;0
76;1.8948;123.87;451.72;0
77;1.9191;128.0;447.25;0
78;2.0576;135.0;425.11;0
79;2.3986;171.58;426.35;0
80;2.7682;190.0;394.35;0
81;3.1384;217.72;376.42;214.452
82;3.304;191.22;367.7;462.419
83;3.2514;183.83;355.48;468.612
84;3.1852;173.5;354.12;403.709
85;3.0754;169.41;363.26;332.927
86;2.9763;172.0;377.78;327.802
87;3.0563;183.57;383.83;361.941
88;3.1185;191.46;385.56;12.9676
89;3.2473;200.45;373.01;0
90;3.4751;211.77;373.17;0
91;3.4914;215.0;386.52;0
92;3.4682;211.6;396.74;0
93;3.2756;200.0;408.45;0
94;3.0013;190.06;417.93;0
95;2.7009;179.99;420.41;0
96;2.4339;137.9;447.48;0
97;2.2448;150.98;451.33;0
98;2.0857;123.0;456.58;0
99;2.0013;107.0;460.49;0
100;1.9646;100.0;453.01;0
101;2.002;107.4;450.0;0
102;2.144;137.4;451.47;0
103;2.5098;188.16;444.15;0
104;2.8899;200.35;415.43;0
105;3.2349;227.0;394.5;201.742
106;3.3903;242.65;383.94;441.267
107;3.3049;192.94;375.88;452.297
108;3.2133;184.38;366.0;387.116
109;3.0904;165.0;364.62;298.218
110;3.0423;165.1;375.94;219.592
111;3.1045;184.52;402.54;305.603
112;3.1744;199.35;416.92;16.9731
113;3.2565;234.27;409.87;0
114;3.4749;249.99;407.06;0
115;3.4926;239.99;409.89;0
116;3.4608;248.8;419.19;0
117;3.2577;200.01;427.49;0
118;2.99;192.94;430.28;0
119;2.7137;184.99;429.87;0
120;2.4725;160.86;400.56;0
121;2.2405;173.13;404.23;0
122;2.0863;170.77;412.84;0
123;1.9918;160.0;416.88;0
124;1.9469;150.0;418.08;0
125;1.948;152.1;419.0;0
126;2.0026;155.0;420.97;0
127;2.152;172.8;406.5;0
128;2.2833;174.6;387.48;0
129;2.4086;174.34;371.42;201.923
130;2.5583;174.14;356.57;440.698
131;2.6114;156.68;351.27;445.41
132;2.6746;147.6;353.54;385.932
133;2.6762;145.5;361.75;326.084
134;2.5517;135.45;370.63;316.849
135;2.5172;149.99;387.71;335.578
136;2.5641;173.97;404.17;13.7386
137;2.6319;179.6;400.92;0
138;2.8668;211.85;398.81;0
139;2.966;226.72;395.98;0
140;3.0195;249.0;399.61;0
141;2.9109;219.99;406.56;0
142;2.7529;188.09;413.42;0
143;2.5483;175.74;404.96;0
144;2.3325;164.2;401.94;0
145;2.1268;176.66;416.52;0
146;1.9724;174.01;424.04;0
147;1.8772;174.01;425.99;0
148;1.8221;173.05;423.61;0
149;1.8393;173.03;421.38;0
150;1.944;174.01;406.48;0
151;2.172;179.55;387.89;0
152;2.3658;186.67;377.71;0
153;2.5787;192.82;383.77;203.098
154;2.7523;206.09;371.71;434.96
155;2.7656;186.39;364.62;446.316
156;2.7531;178.54;360.05;386.734
157;2.7443;165.0;366.73;322.09
158;2.7022;163.94;373.46;320.549
159;2.7081;177.44;391.99;332.986
160;2.7371;182.11;406.61;12.5152
161;2.8241;189.94;403.51;0
162;3.0875;265.0;399.33;0
163;3.1855;290.0;399.04;0
164;3.2151;298.2;405.05;0
165;3.0347;263.0;397.63;0
166;2.7867;187.6;396.53;0
167;2.5608;178.54;409.73;0
168;2.3509;180.0;402.54;0
169;2.1733;164.87;410.6;0
170;2.0032;155.73;426.23;0
171;1.8983;150.0;431.3;0
172;1.8514;150.0;433.07;0
173;1.8412;152.63;437.01;0
174;1.8928;154.21;298.12;0
175;2.0355;165.0;405.49;0
176;2.152;170.5;376.64;0
177;2.314;170.5;344.88;249.239
178;2.5632;170.14;343.09;326.437
179;2.6732;165.0;338.54;101.091
180;2.7304;150.0;338.95;175.53
181;2.7717;160.0;341.96;133.804
182;2.6918;152.4;333.31;75.5455
183;2.6617;165.0;348.97;28.2561
184;2.6449;177.38;348.92;18.5479
185;2.6938;176.99;341.52;0
186;2.9047;178.19;347.33;0
187;3.0189;181.87;348.86;0
188;3.0871;185.48;348.22;0
189;2.9925;180.56;343.13;0
190;2.8269;170.5;352.78;0
191;2.5919;149.81;370.1;0
192;2.3497;146.0;359.34;0
193;2.1309;164.67;328.83;0
194;2.002;150.0;323.85;0
195;1.9498;111.0;321.14;0
196;1.9353;85.0;314.41;0
197;1.9931;73.71;318.43;0
198;2.2393;111.0;335.77;0
199;2.821;140.55;340.31;0
200;3.4379;185.78;336.69;0
201;3.8623;195.0;330.53;224.113
202;4.0508;193.39;327.06;462.905
203;4.0451;187.46;327.98;464.283
204;4.0038;181.14;323.55;395.72
205;3.894;173.16;328.89;325.779
206;3.858;173.77;340.95;320.054
207;3.8899;178.79;340.42;317.041
208;3.9389;183.0;348.22;10.2481
209;3.9782;184.79;347.06;0
210;4.0794;185.73;345.57;0
211;4.0089;182.18;344.37;0
212;3.9502;181.13;348.48;0
213;3.7697;174.99;343.87;0
214;3.4591;150.0;346.37;0
215;3.0969;134.3;340.26;0
216;2.7978;108.31;321.18;0
217;2.5325;105.98;326.17;0
218;2.3917;97.1;335.45;0
219;2.3198;95.98;360.07;0
220;2.3109;90.19;367.07;0
221;2.3458;95.6;366.28;0
222;2.5155;108.6;361.1;0
223;3.0699;177.78;359.37;0
224;3.7051;186.35;340.86;0
225;4.0964;230.0;317.41;245.701
226;4.2015;220.0;305.8;159.08
227;4.1255;196.11;294.35;315.056
228;4.0442;187.48;285.39;336.275
229;3.7987;180.01;286.94;319.434
230;3.749;178.76;300.08;222.318
231;3.8068;185.37;326.35;379.879
232;3.8714;187.48;344.88;256.806
233;3.949;196.11;356.83;0
234;4.1337;206.54;355.59;0
235;4.1071;196.11;353.75;0
236;4.0763;191.0;358.36;0
237;3.8659;185.22;350.51;0
238;3.5606;182.08;345.24;0
239;3.1867;175.08;347.25;0
240;2.8756;143.0;340.21;0
241;2.6137;128.14;346.52;0
242;2.4671;100.0;350.75;0
243;2.401;100.0;356.03;0
244;2.3735;100.0;367.1;0
245;2.4158;105.0;375.82;0
246;2.5804;131.0;370.75;0
247;3.1191;190.0;379.07;0
248;3.7468;208.56;371.54;0
249;4.164;226.25;364.21;223.52
250;4.2573;214.0;349.92;470.995
251;4.138;208.53;333.07;495.854
252;4.0449;193.23;340.7;410.15
253;3.8139;180.77;340.14;342.598
254;3.8194;180.74;358.26;339.041
255;3.9103;190.5;389.12;322.762
256;3.9908;206.5;411.63;279.096
257;4.0677;226.11;407.95;0
258;4.2106;254.17;404.39;0
259;4.1504;217.78;408.79;0
260;4.0754;214.93;414.94;0
261;3.8505;206.5;415.9;0
262;3.5565;205.0;420.56;0
263;3.1984;194.5;410.93;0
264;2.8848;186.54;422.25;0
265;2.6437;160.72;419.35;0
266;2.5;150.08;431.12;0
267;2.4079;131.0;430.62;0
268;2.398;129.2;423.95;0
269;2.4217;133.5;420.37;0
270;2.5995;151.5;421.88;0
271;3.1503;180.1;410.96;0
272;3.7865;192.0;387.61;0
273;4.186;223.51;374.18;221.655
274;4.332;207.96;365.71;470.348
275;4.2799;189.99;361.43;478.584
276;4.189;181.1;346.63;413.11
277;3.9841;174.62;364.33;346.308
278;3.9089;175.16;378.56;342.406
279;3.977;179.5;395.41;354.875
280;4.0309;187.7;399.84;237.957
281;4.0961;198.08;393.19;0
282;4.2304;230.89;395.67;0
283;4.2086;200.15;404.58;0
284;4.1582;195.8;409.3;0
285;3.9321;185.5;408.16;0
286;3.6149;181.38;413.56;0
287;3.2487;177.5;412.58;0
288;2.9105;172.5;416.62;0
289;2.6352;172.34;423.04;0
290;2.4695;169.56;430.85;0
291;2.4133;169.42;420.84;0
292;2.3985;156.74;428.79;0
293;2.4406;163.5;433.79;0
294;2.6205;172.99;427.84;0
295;3.182;185.01;423.27;0
296;3.8231;229.16;407.36;0
297;4.2317;295.0;394.35;161.633
298;4.3727;254.56;399.49;213.102
299;4.2597;206.24;398.34;431.483
300;4.2232;199.24;401.9;173.522
301;3.9826;185.0;395.7;307.338
302;3.9173;185.0;399.71;328.978
303;4.0014;188.23;404.94;344.12
304;4.0415;195.82;405.12;264.654
305;4.0852;210.0;400.27;0
306;4.2071;228.65;404.55;0
307;4.1928;207.43;408.9;0
308;4.1311;200.0;414.8;0
309;3.8666;188.23;406.99;0
310;3.5445;180.0;405.02;0
311;3.2094;175.0;398.44;0
312;2.9167;171.77;378.07;0
313;2.6573;157.8;385.48;0
314;2.4752;147.8;392.28;0
315;2.3835;141.0;401.2;0
316;2.3417;140.48;407.65;0
317;2.3385;145.16;401.0;0
318;2.3922;150.0;402.26;0
319;2.6343;167.91;394.31;0
320;2.9251;178.78;370.27;0
321;3.1876;180.2;354.04;50.2705
322;3.3071;179.85;334.4;52.4668
323;3.2216;167.91;313.84;355.021
324;3.0921;156.0;317.03;403.994
325;2.9652;125.91;318.43;340.542
326;2.8903;120.0;330.72;330.817
327;2.8855;135.85;354.27;355.851
328;2.8846;165.0;378.2;264.631
329;3.0021;175.17;367.02;0
330;3.3227;182.71;358.44;0
331;3.4696;180.2;362.9;0
332;3.4959;185.0;372.37;0
333;3.2875;180.1;391.89;0
334;3.0278;178.69;403.25;0
335;2.8025;170.48;418.08;0
336;2.5718;167.91;406.71;0
337;2.3865;155.6;419.19;0
338;2.2145;146.3;421.63;0
339;2.1126;137.06;420.18;0
340;2.0585;130.0;413.39;0
341;2.0539;130.6;412.46;0
342;2.0969;130.0;410.34;0
