Hours;Load;Price;CO_2_eq;solar_pv
1;1.3272;18.09;679.12;0
2;1.2509;5.75;761.8;0
3;1.1845;5.27;745.19;0
4;1.1462;5.74;701.37;0
5;1.1454;5.22;667.36;0
6;1.1561;6.14;660.91;0
7;1.1651;5.31;662.56;0
8;1.1707;5.99;670.55;0
9;1.1897;6.63;638.99;46.3705
10;1.2449;6.64;607.28;17.7055
11;1.3042;5.17;566.32;56.2696
12;1.3588;8.53;548.46;46.2646
13;1.4027;10.72;555.95;46.3379
14;1.4417;14.06;550.39;15.6627
15;1.4699;56.41;555.77;0
16;1.5123;91.66;582.61;0
17;1.6191;97.81;590.29;0
18;1.6482;102.08;633.4;0
19;1.6577;106.34;682.95;0
20;1.6507;108.73;709.01;0
21;1.6161;106.65;720.6;0
22;1.5468;107.42;740.12;0
23;1.4698;103.81;760.48;0
24;1.3749;90.35;778.52;0
25;1.3061;96.87;791.06;0
26;1.267;96.07;810.02;0
27;1.2463;94.8;799.64;0
28;1.2498;94.86;817.97;0
29;1.2941;96.87;797.98;0
30;1.4033;96.99;769.84;0
31;1.706;140.48;734.78;0
32;1.9174;140.64;724.95;0
33;2.0275;145.98;712.26;66.6531
34;2.0899;147.05;692.49;216.635
35;2.0931;145.61;677.51;187.835
36;2.0995;143.35;692.13;120.644
37;2.1084;144.38;704.34;82.4795
38;2.1115;143.76;718.74;58.4712
39;2.0818;146.09;730.35;0
40;2.1139;145.86;717.83;0
41;2.2016;146.63;710.85;0
42;2.2086;145.28;698.81;0
43;2.1804;145.43;707.16;0
44;2.1579;145.54;686.69;0
45;2.1133;147.23;686.15;0
46;1.9844;141.67;652.12;0
47;1.8407;137.54;668.3;0
48;1.7092;124.22;691.47;0
49;1.6199;130.01;707.57;0
50;1.5568;120.0;710.0;0
51;1.526;118.76;697.51;0
52;1.5293;115.0;704.88;0
53;1.5725;113.63;712.68;0
54;1.6607;116.27;722.66;0
55;1.9031;138.92;756.82;0
56;2.0891;140.83;758.66;0
57;2.16;142.2;721.66;141.529
58;2.2187;141.56;694.03;279.207
59;2.2167;143.34;679.88;275.843
60;2.2222;141.65;697.86;201.927
61;2.2252;143.34;723.44;153.756
62;2.2226;141.59;775.9;43.238
63;2.2031;141.58;832.43;0
64;2.2238;170.74;848.43;0
65;2.315;167.72;855.91;0
66;2.3203;167.97;855.44;0
67;2.2975;159.96;856.17;0
68;2.2792;160.99;855.4;0
69;2.2089;149.62;850.03;0
70;2.0809;143.07;845.83;0
71;1.9307;132.52;833.84;0
72;1.7998;128.25;851.35;0
73;1.6935;130.34;855.9;0
74;1.6426;121.78;862.54;0
75;1.6085;128.19;859.85;0
76;1.6102;121.78;823.85;0
77;1.6583;122.94;792.01;0
78;1.7477;128.2;789.33;0
79;2.0125;138.87;784.78;0
80;2.2094;143.03;744.29;0
81;2.2771;142.51;690.24;159.131
82;2.291;141.59;653.39;324.173
83;2.2506;139.31;647.06;177.952
84;2.2533;138.88;657.44;29.5256
85;2.2831;135.8;668.57;10.0503
86;2.3141;136.74;679.39;6.83193
87;2.2935;130.08;682.22;0
88;2.2886;130.05;700.12;0
89;2.3544;141.03;686.23;0
90;2.3307;141.47;677.58;0
91;2.2966;141.04;675.05;0
92;2.2719;141.47;676.78;0
93;2.2195;127.1;662.72;0
94;2.0734;127.96;646.41;0
95;1.9135;117.27;583.6;0
96;1.7774;88.88;600.5;0
97;1.6697;86.16;589.96;0
98;1.6136;76.62;572.94;0
99;1.5887;63.17;589.13;0
100;1.5934;70.48;580.83;0
101;1.621;59.72;603.71;0
102;1.7077;75.23;633.91;0
103;1.9507;97.28;665.4;0
104;2.1168;111.11;682.48;0
105;2.2082;117.82;665.62;24.3512
106;2.2574;117.99;638.43;261.369
107;2.2452;107.37;635.8;179.584
108;2.2638;114.56;649.89;158.987
109;2.2567;108.79;673.69;84.749
110;2.2593;128.5;698.63;178.675
111;2.2336;126.3;721.99;0
112;2.2292;132.78;745.56;0
113;2.2887;133.95;753.2;0
114;2.2844;137.25;762.5;0
115;2.2556;135.91;771.8;0
116;2.2317;137.05;797.35;0
117;2.164;128.49;801.48;0
118;2.0383;132.76;820.88;0
119;1.8985;131.69;843.51;0
120;1.7758;127.0;885.45;0
121;1.6702;100.92;899.58;0
122;1.6098;101.1;912.39;0
123;1.5639;96.73;893.71;0
124;1.5489;93.85;891.4;0
125;1.5436;85.82;921.73;0
126;1.5445;98.11;931.9;0
127;1.5696;96.29;931.52;0
128;1.5926;103.31;913.48;0
129;1.6612;99.94;897.77;78.2603
130;1.7729;108.76;876.28;199.261
131;1.8527;101.65;850.44;291.324
132;1.9027;106.2;833.97;186.332
133;1.9197;100.57;830.53;146.029
134;1.948;106.79;824.96;94.8781
135;1.9335;101.92;816.2;35.733
136;1.9173;103.21;801.89;0
137;1.9651;103.27;779.53;0
138;1.9515;109.44;770.77;0
139;1.9383;101.77;766.86;0
140;1.9169;104.27;779.0;0
141;1.8644;100.67;788.74;0
142;1.7902;103.33;773.31;0
143;1.7166;95.98;784.68;0
144;1.6117;97.74;786.14;0
145;1.5241;103.27;782.39;0
146;1.4649;104.71;791.6;0
147;1.4321;99.45;805.14;0
148;1.4103;103.78;817.82;0
149;1.4324;102.58;835.49;0
150;1.4755;105.14;871.68;0
151;1.5889;104.71;877.75;0
152;1.6649;117.26;892.66;0
153;1.7621;128.43;880.22;4.15858
154;1.864;137.07;860.02;16.0323
155;1.9026;126.68;833.46;46.7902
156;1.9336;137.83;834.64;17.1463
157;1.9374;121.52;850.98;17.5174
158;1.958;134.12;879.61;18.0359
159;1.9401;130.39;906.35;12.7124
160;1.9433;139.85;905.34;0
161;2.0128;161.63;888.85;0
162;2.0288;166.25;873.25;0
163;2.0057;157.58;846.3;0
164;1.9848;155.96;847.53;0
165;1.9309;131.19;836.21;0
166;1.8392;109.71;817.74;0
167;1.7471;100.74;775.92;0
168;1.6247;95.59;741.56;0
169;1.5275;85.62;721.54;0
170;1.46;76.05;720.06;0
171;1.4191;69.19;717.68;0
172;1.406;67.02;714.87;0
173;1.4134;68.38;704.35;0
174;1.4226;69.52;703.82;0
175;1.4627;74.91;691.24;0
176;1.4974;82.59;687.08;0
177;1.5545;84.34;665.16;173.931
178;1.6628;95.76;684.02;342.077
179;1.7218;98.53;705.18;299.429
180;1.7778;102.04;723.24;213.259
181;1.802;99.86;732.08;153.785
182;1.8251;98.29;749.98;198.916
183;1.8039;98.85;755.56;37.9724
184;1.7986;100.57;751.58;0
185;1.8661;106.85;744.72;0
186;1.8927;108.47;745.91;0
187;1.9028;107.17;746.05;0
188;1.9127;106.11;749.16;0
189;1.8633;106.64;777.87;0
190;1.7791;105.27;789.68;0
191;1.6985;100.15;782.77;0
192;1.5884;91.42;789.95;0
193;1.5122;95.39;798.31;0
194;1.4749;93.81;814.21;0
195;1.456;90.82;838.4;0
196;1.4702;93.83;849.58;0
197;1.5061;91.97;853.87;0
198;1.64;95.77;850.92;0
199;1.9686;149.57;863.19;0
200;2.1848;168.4;873.11;0
201;2.2776;180.0;865.26;164.948
202;2.3406;180.12;858.66;336.619
203;2.3399;176.46;863.56;296.289
204;2.3816;178.87;877.08;202.867
205;2.3852;182.71;888.39;178.121
206;2.4058;189.11;899.71;126.127
207;2.3525;183.3;912.38;0
208;2.3292;177.51;922.76;0
209;2.3678;189.11;922.75;0
210;2.3643;185.49;929.01;0
211;2.3265;182.18;929.34;0
212;2.3243;187.17;926.45;0
213;2.2701;172.79;924.4;0
214;2.1202;143.18;921.02;0
215;1.9663;133.54;942.32;0
216;1.8307;116.06;948.88;0
217;1.7378;133.76;971.23;0
218;1.6828;129.97;977.53;0
219;1.6452;128.58;981.72;0
220;1.6598;134.2;961.12;0
221;1.6834;128.07;948.93;0
222;1.7814;135.17;961.45;0
223;2.0594;152.39;968.38;0
224;2.2592;195.11;972.25;0
225;2.3411;195.05;954.66;10.802
226;2.3922;196.15;947.36;45.4978
227;2.3832;194.83;944.77;17.9822
228;2.418;195.45;940.95;59.89
229;2.4279;195.11;949.64;36.6718
230;2.4319;195.81;963.45;65.2412
231;2.3826;196.02;971.91;2.18965
232;2.3624;196.78;965.69;0
233;2.4144;199.06;955.44;0
234;2.4086;199.94;953.42;0
235;2.3736;198.41;953.6;0
236;2.3695;199.47;951.75;0
237;2.3143;195.04;932.21;0
238;2.1616;166.65;916.45;0
239;2.0076;159.56;897.47;0
240;1.8741;126.84;873.52;0
241;1.7674;121.42;875.38;0
242;1.6979;115.03;849.26;0
243;1.6712;96.09;825.4;0
244;1.687;92.42;793.07;0
245;1.7296;92.38;779.39;0
246;1.8254;107.36;768.61;0
