Hours;Load;Price;CO_2_eq;solar_pv
1;1.3772;2.01;35.25;0
2;1.3595;1.38;38.02;0
3;1.3802;0.09;38.48;0
4;1.3819;0.08;37.24;0
5;1.389;0.05;35.98;0
6;1.3441;0.08;34.49;0
7;1.3488;0.09;35.09;0
8;1.3904;0.53;37.61;0
9;1.4255;2.03;38.69;0
10;1.4338;3.1;46.21;68.2522
11;1.4623;4.43;50.27;146.868
12;1.4895;6.06;49.76;51.7179
13;1.5275;6.06;56.36;53.7425
14;1.5431;5.68;49.85;66.3293
15;1.5729;17.71;41.75;0
16;1.6421;24.11;27.73;0
17;1.7173;36.54;27.91;0
18;1.7502;46.03;26.6;0
19;1.7565;54.23;27.86;0
20;1.7047;53.63;28.17;0
21;1.6587;48.05;25.33;0
22;1.6145;44.68;26.3;0
23;1.5869;45.96;27.84;0
24;1.5143;35.0;27.64;0
25;1.4697;57.91;29.82;0
26;1.4783;51.67;31.93;0
27;1.4677;52.86;31.72;0
28;1.4495;44.16;33.03;0
29;1.4784;50.08;30.76;0
30;1.5267;70.73;32.48;0
31;1.6163;102.56;27.7;0
32;1.7608;138.19;26.53;0
33;1.8126;145.98;37.31;0
34;1.8348;147.05;41.78;11.83
35;1.8434;145.61;42.32;65.1423
36;1.8415;143.35;40.98;124.534
37;1.8854;144.38;49.11;24.4843
38;1.8827;143.76;46.6;55.2217
39;1.8905;148.2;36.89;0
40;1.9178;155.34;39.71;0
41;1.9256;162.89;36.57;0
42;1.9194;170.0;26.17;0
43;1.8906;174.74;25.21;0
44;1.81;164.46;25.49;0
45;1.759;153.0;28.52;0
46;1.6984;141.67;27.78;0
47;1.6325;131.67;25.55;0
48;1.6252;118.06;26.88;0
49;1.5914;78.81;29.39;0
50;1.5388;73.93;29.47;0
51;1.523;73.94;30.14;0
52;1.5189;71.44;27.85;0
53;1.5487;72.33;28.26;0
54;1.6115;77.14;26.08;0
55;1.7264;102.48;25.74;0
56;1.8274;154.96;25.54;0
57;1.8802;163.92;25.64;0
58;1.9102;167.07;26.03;4.73066
59;1.9455;168.57;26.85;15.2849
60;1.9517;169.49;26.4;51.9013
61;1.9432;164.5;26.69;1.31264
62;1.9684;160.91;25.88;0
63;2.0295;163.06;26.06;0
64;2.0618;167.73;26.21;0
65;2.1119;166.61;26.56;0
66;2.1184;170.72;26.54;0
67;2.0797;168.93;30.17;0
68;2.0221;160.99;34.75;0
69;1.9423;149.62;41.2;0
70;1.8905;131.05;39.02;0
71;1.8316;114.27;40.42;0
72;1.7617;93.66;42.17;0
73;1.7265;82.88;44.66;0
74;1.7089;78.84;47.32;0
75;1.6889;69.93;47.22;0
76;1.6884;69.26;44.61;0
77;1.6873;71.75;42.47;0
78;1.7514;81.73;39.71;0
79;1.9001;80.11;36.31;0
80;2.0325;83.33;35.32;0
81;2.0733;86.27;31.68;0
82;2.0977;85.37;33.84;138.718
83;2.1416;75.95;33.66;19.89
84;2.1515;81.71;32.06;127.733
85;2.1546;80.89;31.1;47.662
86;2.1393;79.72;30.63;96.1788
87;2.1475;80.22;30.9;0
88;2.1677;79.74;30.47;0
89;2.1702;80.82;29.82;0
90;2.1667;86.16;29.41;0
91;2.1104;72.28;33.93;0
92;2.0786;66.61;39.97;0
93;2.015;62.13;41.06;0
94;1.9336;57.26;41.61;0
95;1.8543;37.94;43.51;0
96;1.798;30.82;45.86;0
97;1.7595;30.03;43.64;0
98;1.7188;28.15;43.45;0
99;1.7031;27.68;42.91;0
100;1.7216;27.76;45.54;0
101;1.7004;28.63;45.96;0
102;1.7428;39.8;40.35;0
103;1.8454;62.7;30.12;0
104;1.9934;85.53;28.62;0
105;2.0598;93.54;28.46;0
106;2.0863;107.92;30.75;104.955
107;2.0694;128.75;32.75;42.329
108;2.0536;139.64;34.47;77.2859
109;2.069;139.99;31.01;45.6906
110;2.0584;142.58;27.07;30.207
111;2.0609;149.4;26.87;0
112;2.1022;155.2;27.92;0
113;2.1279;168.59;28.17;0
114;2.1206;190.03;28.25;0
115;2.0757;190.0;28.24;0
116;2.0;173.71;27.5;0
117;1.9278;160.05;27.36;0
118;1.8733;148.62;26.57;0
119;1.8076;141.17;26.31;0
120;1.7568;127.0;28.51;0
121;1.735;107.21;29.05;0
122;1.7102;101.1;29.9;0
123;1.6827;96.73;29.88;0
124;1.6693;82.34;30.08;0
125;1.6731;81.93;29.42;0
126;1.6731;84.03;27.24;0
127;1.7127;97.25;26.5;0
128;1.7681;103.95;26.09;0
129;1.8206;108.51;27.21;0
130;1.8409;109.92;25.41;4.35727
131;1.8922;110.14;25.04;13.5372
132;1.9335;110.65;27.73;27.8089
133;1.9702;109.91;29.2;37.8222
134;1.9552;101.09;27.92;36.8865
135;1.9716;113.06;25.39;0
