Hours;Load;Price;CO_2_eq;solar_pv
1;1.339;2.01;29.47;0
2;1.346;1.38;34.2;0
3;1.445;0.09;34.59;0
4;1.417;0.08;32.68;0
5;1.427;0.05;27.71;0
6;1.265;0.08;27.57;0
7;1.246;0.09;26.39;0
8;1.269;0.53;25.42;0
9;1.318;2.03;24.74;0
10;1.276;3.1;26.47;68.2522
11;1.339;4.43;27.04;146.868
12;1.319;6.06;25.15;51.7179
13;1.337;6.06;20.88;53.7425
14;1.374;5.68;22.29;66.3293
15;1.113;17.71;22.27;0
16;1.186;24.11;19.5;0
17;1.167;36.54;14.31;0
18;1.184;46.03;14.68;0
19;1.304;54.23;13.82;0
20;1.176;53.63;16.09;0
21;1.155;48.05;13.04;0
22;1.177;44.68;14.04;0
23;1.192;45.96;17.18;0
24;1.169;35.0;15.37;0
25;1.23;57.91;18.6;0
26;1.183;51.67;16.31;0
27;1.209;52.86;15.12;0
28;1.121;44.16;17.52;0
29;1.178;50.08;13.8;0
30;1.527;70.73;13.4;0
31;1.57;102.56;13.94;0
32;1.797;112.43;14.34;0
33;1.694;111.29;14.01;0
34;1.606;114.94;14.38;11.83
35;1.633;114.95;14.83;65.1423
36;1.317;117.56;15.26;124.534
37;1.331;131.27;15.07;24.4843
38;1.393;143.76;15.19;55.2217
39;1.392;148.2;15.27;0
40;1.599;155.34;15.62;0
41;1.665;162.89;15.13;0
42;1.486;170.0;15.07;0
43;1.31;174.74;14.58;0
44;1.353;164.46;14.27;0
45;1.335;153.0;14.12;0
46;1.216;141.67;14.4;0
47;1.247;131.67;14.72;0
48;1.609;118.06;14.22;0
49;1.468;78.81;15.42;0
50;1.364;73.93;16.1;0
51;1.404;73.94;15.85;0
52;1.423;71.44;15.94;0
53;1.391;72.33;15.78;0
54;1.518;77.14;15.93;0
55;1.446;102.48;15.6;0
56;1.47;102.09;14.1;0
57;1.3;102.37;13.98;0
58;1.237;99.65;13.63;4.73066
59;1.322;94.92;13.49;15.2849
60;1.306;107.95;13.09;51.9013
61;1.363;108.42;13.77;1.31264
62;1.48;109.05;14.95;0
63;1.82;110.69;15.01;0
64;1.916;118.83;15.02;0
65;1.991;116.9;15.23;0
66;1.908;115.49;15.07;0
67;1.83;120.0;14.92;0
68;1.739;120.92;14.67;0
69;1.703;119.97;14.82;0
70;1.688;119.72;15.7;0
71;1.622;114.27;16.53;0
72;1.468;93.66;17.17;0
73;1.445;82.88;18.11;0
74;1.458;78.84;19.68;0
75;1.399;69.93;19.42;0
76;1.419;69.26;19.0;0
77;1.431;71.75;17.44;0
78;1.528;81.73;17.31;0
79;1.579;80.11;16.77;0
80;1.614;83.33;16.22;0
81;1.636;86.27;16.3;0
82;1.577;85.37;16.73;138.718
83;1.658;75.95;17.03;19.89
